Functional Family, Cluster, Starting Index, Length, Levenshtein Distance Similarity, K-mer Similarity, Further Comparison
1.20.58.60.FF16183, 1.20.58.60.FF16183/a, 126, 0, 20, 0, False
1.20.58.60.FF16192, 1.20.58.60.FF16192/a, 6, 0, 18, 0, False
1.20.58.60.FF16217, 1.20.58.60.FF16217/a, 22, 0, 33, 0, False
1.20.58.60.FF16218, 1.20.58.60.FF16218/a, 117, 0, 25, 0, False
1.20.58.60.FF16221, 1.20.58.60.FF16221/a, 47, 0, 23, 0, False
1.20.58.60.FF16231, 1.20.58.60.FF16231/a, 160, 0, 22, 0, False
1.20.58.60.FF16233, 1.20.58.60.FF16233/a, 93, 0, 25, 0, False
1.20.58.60.FF16204, 1.20.58.60.FF16204/a, 5, 0, 21, 0, False
1.20.58.60.FF16220, 1.20.58.60.FF16220/a, 145, 0, 20, 0, False
1.20.58.60.FF16227, 1.20.58.60.FF16227/a, 118, 0, 20, 0, False
1.20.58.60.FF16228, 1.20.58.60.FF16228/a, 172, 0, 22, 0, False
1.20.58.60.FF16239, 1.20.58.60.FF16239/a, 23, 0, 21, 0, False
1.20.58.60.FF16250, 1.20.58.60.FF16250/a, 48, 0, 21, 0, False
1.20.58.60.FF16251, 1.20.58.60.FF16251/a, 91, 0, 19, 0, False
1.20.58.60.FF16254, 1.20.58.60.FF16254/a, 17, 0, 28, 0, False
1.20.58.60.FF16241, 1.20.58.60.FF16241/a, 57, 0, 31, 0, False
1.20.58.60.FF16246, 1.20.58.60.FF16246/a, 2, 0, 21, 0, False
1.20.58.60.FF16262, 1.20.58.60.FF16262/a, 2, 0, 27, 0, False
1.20.58.60.FF16268, 1.20.58.60.FF16268/a, 4, 0, 24, 0, False
1.20.58.60.FF16271, 1.20.58.60.FF16271/a, 3, 0, 22, 0, False
1.20.58.60.FF16272, 1.20.58.60.FF16272/a, 8, 0, 33, 0, False
1.20.58.60.FF16279, 1.20.58.60.FF16279/a, 125, 0, 19, 0, False
1.20.58.60.FF16292, 1.20.58.60.FF16292/a, 46, 0, 22, 0, False
1.20.58.60.FF16274, 1.20.58.60.FF16274/a, 60, 0, 18, 0, False
1.20.58.60.FF16290, 1.20.58.60.FF16290/a, 168, 0, 41, 0, False
1.20.58.60.FF16281, 1.20.58.60.FF16281/a, 19, 0, 19, 0, False
1.20.58.60.FF16294, 1.20.58.60.FF16294/a, 6, 0, 23, 0, False
1.20.58.60.FF16297, 1.20.58.60.FF16297/a, 177, 0, 28, 0, False
1.20.58.60.FF16299, 1.20.58.60.FF16299/a, 6, 0, 21, 0, False
1.20.58.60.FF16300, 1.20.58.60.FF16300/a, 119, 0, 20, 0, False
1.20.58.60.FF16311, 1.20.58.60.FF16311/a, 128, 0, 18, 0, False
1.20.58.60.FF16312, 1.20.58.60.FF16312/a, 133, 0, 23, 0, False
1.20.58.60.FF16315, 1.20.58.60.FF16315/a, 0, 0, 22, 0, False
1.20.58.60.FF16316, 1.20.58.60.FF16316/a, 16, 0, 21, 0, False
1.20.58.60.FF16318, 1.20.58.60.FF16318/a, 89, 0, 21, 0, False
1.20.58.60.FF16331, 1.20.58.60.FF16331/a, 117, 0, 19, 0, False
1.20.58.60.FF16337, 1.20.58.60.FF16337/a, 185, 0, 20, 0, False
1.20.58.60.FF16342, 1.20.58.60.FF16342/a, 112, 0, 23, 0, False
1.20.58.60.FF16323, 1.20.58.60.FF16323/a, 33, 0, 22, 0, False
1.20.58.60.FF16319, 1.20.58.60.FF16319/a, 83, 0, 24, 0, False
1.20.58.60.FF16334, 1.20.58.60.FF16334/a, 137, 0, 26, 0, False
1.20.58.60.FF16343, 1.20.58.60.FF16343/a, 60, 0, 38, 0, False
1.20.58.60.FF16349, 1.20.58.60.FF16349/a, 124, 0, 20, 0, False
1.20.58.60.FF16359, 1.20.58.60.FF16359/a, 40, 0, 23, 0, False
1.20.58.60.FF16361, 1.20.58.60.FF16361/a, 80, 0, 25, 0, False
1.20.58.60.FF16370, 1.20.58.60.FF16370/a, 155, 0, 23, 0, False
1.20.58.60.FF16376, 1.20.58.60.FF16376/a, 155, 0, 31, 0, False
1.20.58.60.FF16356, 1.20.58.60.FF16356/a, 83, 0, 37, 0, False
1.20.58.60.FF16348, 1.20.58.60.FF16348/a, 19, 0, 22, 0, False
1.20.58.60.FF16380, 1.20.58.60.FF16380/a, 102, 0, 21, 0, False
1.20.58.60.FF16357, 1.20.58.60.FF16357/a, 154, 0, 20, 0, False
1.20.58.60.FF16369, 1.20.58.60.FF16369/a, 0, 0, 25, 0, False
1.20.58.60.FF16374, 1.20.58.60.FF16374/a, 98, 0, 22, 0, False
1.20.58.60.FF16386, 1.20.58.60.FF16386/a, 151, 0, 26, 0, False
1.20.58.60.FF16388, 1.20.58.60.FF16388/a, 0, 0, 20, 0, False
1.20.58.60.FF16395, 1.20.58.60.FF16395/a, 138, 0, 22, 0, False
1.20.58.60.FF16408, 1.20.58.60.FF16408/a, 27, 0, 26, 0, False
1.20.58.60.FF16443, 1.20.58.60.FF16443/a, 43, 0, 25, 0, False
1.20.58.60.FF16449, 1.20.58.60.FF16449/a, 1, 0, 22, 0, False
1.20.58.60.FF16390, 1.20.58.60.FF16390/a, 9, 0, 24, 0, False
1.20.58.60.FF16405, 1.20.58.60.FF16405/a, 80, 0, 23, 0, False
1.20.58.60.FF16410, 1.20.58.60.FF16410/a, 137, 0, 25, 0, False
1.20.58.60.FF16428, 1.20.58.60.FF16428/a, 161, 0, 23, 0, False
1.20.58.60.FF16440, 1.20.58.60.FF16440/a, 71, 0, 21, 0, False
1.20.58.60.FF16456, 1.20.58.60.FF16456/a, 110, 0, 22, 0, False
1.20.58.60.FF16468, 1.20.58.60.FF16468/a, 191, 0, 31, 0, False
1.20.58.60.FF16478, 1.20.58.60.FF16478/a, 47, 0, 24, 0, False
1.20.58.60.FF16482, 1.20.58.60.FF16482/a, 90, 0, 27, 0, False
1.20.58.60.FF16487, 1.20.58.60.FF16487/a, 12, 0, 23, 0, False
1.20.58.60.FF16491, 1.20.58.60.FF16491/a, 1, 0, 22, 0, False
1.20.58.60.FF16504, 1.20.58.60.FF16504/a, 8, 0, 26, 0, False
1.20.58.60.FF16517, 1.20.58.60.FF16517/a, 134, 0, 32, 0, False
1.20.58.60.FF16457, 1.20.58.60.FF16457/a, 139, 0, 24, 0, False
1.20.58.60.FF16470, 1.20.58.60.FF16470/a, 129, 0, 52, 0, False
1.20.58.60.FF16485, 1.20.58.60.FF16485/a, 1, 0, 18, 0, False
1.20.58.60.FF16499, 1.20.58.60.FF16499/a, 1, 0, 27, 0, False
1.20.58.60.FF16509, 1.20.58.60.FF16509/a, 83, 0, 28, 0, False
1.20.58.60.FF16514, 1.20.58.60.FF16514/a, 118, 0, 25, 0, False
1.20.58.60.FF16519, 1.20.58.60.FF16519/a, 160, 0, 25, 0, False
1.20.58.60.FF16520, 1.20.58.60.FF16520/a, 142, 0, 23, 0, False
1.20.58.60.FF16522, 1.20.58.60.FF16522/a, 114, 0, 23, 0, False
1.20.58.60.FF16525, 1.20.58.60.FF16525/a, 41, 0, 23, 0, False
1.20.58.60.FF16528, 1.20.58.60.FF16528/a, 124, 0, 26, 0, False
1.20.58.60.FF16532, 1.20.58.60.FF16532/a, 113, 0, 25, 0, False
1.20.58.60.FF16533, 1.20.58.60.FF16533/a, 0, 0, 39, 0, False
1.20.58.60.FF16538, 1.20.58.60.FF16538/a, 65, 0, 42, 0, False
1.20.58.60.FF16541, 1.20.58.60.FF16541/a, 104, 0, 29, 0, False
1.20.58.60.FF16549, 1.20.58.60.FF16549/a, 113, 0, 33, 0, False
1.20.58.60.FF16565, 1.20.58.60.FF16565/a, 0, 0, 27, 0, False
1.20.58.60.FF16600, 1.20.58.60.FF16600/a, 144, 0, 27, 0, False
1.20.58.60.FF16554, 1.20.58.60.FF16554/a, 106, 0, 51, 0, False
1.20.58.60.FF16584, 1.20.58.60.FF16584/a, 153, 0, 25, 0, False
1.20.58.60.FF16624, 1.20.58.60.FF16624/a, 61, 0, 40, 0, False
1.20.58.60.FF16643, 1.20.58.60.FF16643/a, 141, 0, 37, 0, False
1.20.58.60.FF1666, 1.20.58.60.FF1666/a, 20, 0, 24, 0, False
1.20.58.60.FF16610, 1.20.58.60.FF16610/a, 13, 0, 19, 0, False
1.20.58.60.FF16611, 1.20.58.60.FF16611/a, 39, 0, 38, 0, False
1.20.58.60.FF16656, 1.20.58.60.FF16656/a, 41, 0, 21, 0, False
1.20.58.60.FF16660, 1.20.58.60.FF16660/a, 43, 0, 29, 0, False
1.20.58.60.FF16678, 1.20.58.60.FF16678/a, 134, 0, 24, 0, False
1.20.58.60.FF16713, 1.20.58.60.FF16713/a, 89, 0, 43, 0, False
1.20.58.60.FF16680, 1.20.58.60.FF16680/a, 73, 0, 28, 0, False
1.20.58.60.FF16712, 1.20.58.60.FF16712/a, 2, 0, 22, 0, False
1.20.58.60.FF16710, 1.20.58.60.FF16710/a, 65, 0, 24, 0, False
1.20.58.60.FF16742, 1.20.58.60.FF16742/a, 139, 0, 33, 0, False
1.20.58.60.FF16786, 1.20.58.60.FF16786/a, 27, 0, 51, 0, False
1.20.58.60.FF16788, 1.20.58.60.FF16788/a, 126, 0, 41, 0, False
1.20.58.60.FF16730, 1.20.58.60.FF16730/a, 57, 0, 32, 0, False
1.20.58.60.FF16747, 1.20.58.60.FF16747/a, 34, 0, 36, 0, False
1.20.58.60.FF16800, 1.20.58.60.FF16800/a, 23, 0, 41, 0, False
1.20.58.60.FF16814, 1.20.58.60.FF16814/a, 76, 0, 31, 0, False
1.20.58.60.FF16803, 1.20.58.60.FF16803/a, 185, 0, 37, 0, False
1.20.58.60.FF16903, 1.20.58.60.FF16903/a, 95, 0, 20, 0, False
1.20.58.60.FF16935, 1.20.58.60.FF16935/a, 94, 0, 19, 0, False
1.20.58.60.FF16951, 1.20.58.60.FF16951/a, 69, 0, 13, 0, False
